"Date(UTC)","UnixTimeStamp","Value"
"12/12/2022","1670803200","120521768.198804845447643363"
"12/13/2022","1670889600","120521621.548313063769262878"
"12/14/2022","1670976000","120521723.388366423767024020"
"12/15/2022","1671062400","120521640.750487150087038479"
"12/16/2022","1671148800","120521493.634983118784304220"
"12/17/2022","1671235200","120521802.540426388426924182"
"12/18/2022","1671321600","120522097.460526958653715046"
"12/19/2022","1671408000","120522342.096306277195130123"
"12/20/2022","1671494400","120522448.577074089614396825"
"12/21/2022","1671580800","120522624.524951771706718061"
"12/22/2022","1671667200","120522862.425967241333151072"
"12/23/2022","1671753600","120523164.096387433531059147"
"12/24/2022","1671840000","120523751.204758474715362602"
"12/25/2022","1671926400","120524379.948208328922966988"
"12/26/2022","1672012800","120524920.523360506233975321"
"12/27/2022","1672099200","120525107.439378321033942069"
"12/28/2022","1672185600","120525177.386475320354756394"
"12/29/2022","1672272000","120525195.961753676033353175"
"12/30/2022","1672358400","120525143.220565201837757878"
"12/31/2022","1672444800","120525214.126484246185588479"
"1/1/2023","1672531200","120525462.269001643206355199"
"1/2/2023","1672617600","120525538.931495710772624252"
"1/3/2023","1672704000","120525384.868381066469631796"
"1/4/2023","1672790400","120525065.957826952158319449"
"1/5/2023","1672876800","120524628.093382449798894725"
"1/6/2023","1672963200","120524266.827438026907493016"
"1/7/2023","1673049600","120524403.992874727801899793"
"1/8/2023","1673136000","120524250.481408369695463770"
"1/9/2023","1673222400","120523633.436661305867084740"
"1/10/2023","1673308800","120523175.079127191700561587"
"1/11/2023","1673395200","120522687.131242867357941706"
"1/12/2023","1673481600","120522204.692553239296901233"
"1/13/2023","1673568000","120521370.690705526705498222"
"1/14/2023","1673654400","120520682.618856567294051516"
"1/15/2023","1673740800","120520443.474890565127162602"
"1/16/2023","1673827200","120519904.666101869368577148"
"1/17/2023","1673913600","120519310.933097815103610572"
"1/18/2023","1674000000","120518366.348547036713847644"
"1/19/2023","1674086400","120517980.882018162071363666"
"1/20/2023","1674172800","120517581.629748421323370634"
"1/21/2023","1674259200","120517586.740002661764431844"
"1/22/2023","1674345600","120517764.108973657329713733"
"1/23/2023","1674432000","120517622.967764114624508385"
"1/24/2023","1674518400","120517087.444279986746211388"
